TIME,RPM,SPEED,COOLANT_TEMP,INTAKE_TEMP,MAF,THROTTLE_POS,ENGINE_LOAD,FRATE,AMBIANT
2.02E+13,3108,71,80,34,10.71,17,7,7.1,30
2.02E+13,3108,69,80,34,10.71,19,11,7.3,28
2.02E+13,3051,69,80,34,19.46,24,16,6.5,30
2.02E+13,3029,68,80,34,16.66,24,16,7.9,29
2.02E+13,3029,67,80,34,16.66,23,14,7.9,28
2.02E+13,2986,67,80,34,20.79,25,22,7.9,29
2.02E+13,2975,66,80,33,33.18,25,22,6.4,31
2.02E+13,2975,66,80,33,33.18,30,28,7.6,31
2.02E+13,2992,66,79,33,34.3,30,28,7,28
2.02E+13,3011,67,79,33,34.16,30,28,7.7,31
2.02E+13,3011,67,79,32,34.16,30,28,6.6,29
2.02E+13,3031,67,79,32,34.02,30,28,6.4,28
2.02E+13,3065,68,79,32,33.32,30,27,7.8,30
2.02E+13,3065,68,79,32,33.32,30,27,6.3,28
2.02E+13,3095,68,79,32,32.9,29,27,6,29
2.02E+13,3113,69,79,32,32.76,29,26,6.9,31
2.02E+13,3113,70,79,32,32.76,29,26,7.2,28
2.02E+13,3137,70,79,32,32.9,29,26,7.2,30
2.02E+13,3164,70,79,32,32.9,29,26,6.5,30
2.02E+13,3164,71,79,32,33.39,29,26,7.8,31
2.02E+13,3190,71,79,32,33.11,29,26,6,30
2.02E+13,3195,71,79,32,24.85,29,25,7.1,29
2.02E+13,3195,71,79,32,24.85,26,19,6.4,29
2.02E+13,3191,71,79,32,24.85,26,19,7.6,30
2.02E+13,3181,71,79,32,24.85,26,20,7.8,29
2.02E+13,3181,71,79,32,25.76,26,22,6.1,28
2.02E+13,3187,71,79,32,34.16,29,22,7.7,29
2.02E+13,3206,71,79,31,34.16,29,27,7.4,30
2.02E+13,3206,71,79,31,33.53,29,26,8,29
2.02E+13,3219,71,79,31,33.39,29,26,6.4,28
2.02E+13,3230,71,79,31,33.39,29,26,6.7,28
2.02E+13,3230,71,79,31,37.24,31,29,6.5,31
2.02E+13,3273,72,79,31,39.34,31,29,6.5,31
2.02E+13,3309,73,79,31,39.34,31,29,7.7,30
2.02E+13,3309,73,79,31,39.13,31,29,7.2,28
2.02E+13,3336,74,79,31,36.33,30,29,6,31
2.02E+13,3350,75,79,31,36.33,30,25,8,29
2.02E+13,3350,75,79,31,33.39,29,25,6.3,29
2.02E+13,3356,75,79,31,33.53,29,25,6.5,30
2.02E+13,3357,75,79,31,33.53,29,24,8,31
2.02E+13,3357,75,79,31,32.69,29,25,6.9,31
2.02E+13,3360,75,79,31,33.95,29,25,7.2,28
2.02E+13,3360,75,79,31,33.95,29,25,7.4,30
2.02E+13,3370,75,79,31,34.79,30,26,7.5,30
2.02E+13,3374,75,79,31,37.45,30,26,6.6,28
2.02E+13,3374,75,79,31,37.45,31,27,6.5,28
2.02E+13,3378,75,80,31,38.15,31,28,7.9,30
